************************************分析表******************************

                          内容	种别码	标识符地址	
                           int	7	-1	
                             f	0	1	
                             (	38	-1	
                           int	7	-1	
                             m	0	2	
                             ,	36	-1	
                           int	7	-1	
                             n	0	3	
                             )	39	-1	
                             {	42	-1	
                             m	0	1	
                             =	25	-1	
                             n	0	2	
                             ;	37	-1	
                             m	0	1	
                             =	25	-1	
                             f	0	4	
                             (	38	-1	
                             3	3	-1	
                             ,	36	-1	
                             2	3	-1	
                             )	39	-1	
                             ;	37	-1	
                        return	18	-1	
                             m	0	1	
                             ;	37	-1	
                             }	43	-1	
                          void	4	-1	
                          main	17	-1	
                             (	38	-1	
                             )	39	-1	
                             {	42	-1	
                           int	7	-1	
                             a	0	5	
                             ;	37	-1	
                             a	0	1	
                             =	25	-1	
                             f	0	6	
                             (	38	-1	
                             3	3	-1	
                             ,	36	-1	
                             2	3	-1	
                             )	39	-1	
                             ;	37	-1	
                           int	7	-1	
                             q	0	7	
                             [	40	-1	
                            10	3	-1	
                             ]	41	-1	
                             ;	37	-1	
                             a	0	1	
                             =	25	-1	
                             q	0	3	
                             [	40	-1	
                             5	3	-1	
                             ]	41	-1	
                             +	29	-1	
                             1	3	-1	
                             ;	37	-1	
                             q	0	3	
                             [	40	-1	
                             3	3	-1	
                             ]	41	-1	
                             =	25	-1	
                             q	0	3	
                             [	40	-1	
                             2	3	-1	
                             ]	41	-1	
                             *	31	-1	
                             q	0	3	
                             [	40	-1	
                             1	3	-1	
                             ]	41	-1	
                             ;	37	-1	
                           int	7	-1	
                             b	0	8	
                             ;	37	-1	
                           int	7	-1	
                             c	0	9	
                             ,	36	-1	
                             d	0	10	
                             ;	37	-1	
                          char	5	-1	
                             e	0	11	
                             ,	36	-1	
                             x	0	12	
                             ,	36	-1	
                             y	0	13	
                             ;	37	-1	
                            if	12	-1	
                             (	38	-1	
                             a	0	1	
                             >	23	-1	
                             b	0	4	
                             )	39	-1	
                             {	42	-1	
                         while	14	-1	
                             (	38	-1	
                             a	0	1	
                             +	29	-1	
                             d	0	6	
                            <=	20	-1	
                             b	0	4	
                             +	29	-1	
                             e	0	7	
                            &&	26	-1	
                             d	0	6	
                             /	32	-1	
                             e	0	7	
                            ==	21	-1	
                             a	0	1	
                             )	39	-1	
                             {	42	-1	
                             c	0	5	
                             =	25	-1	
                             b	0	4	
                             %	33	-1	
                             3	3	-1	
                             ;	37	-1	
                             }	43	-1	
                             a	0	1	
                             =	25	-1	
                             +	29	-1	
                             c	0	5	
                             ;	37	-1	
                             c	0	5	
                             =	25	-1	
                             -	30	-1	
                             b	0	4	
                             ;	37	-1	
                             }	43	-1	
                          else	13	-1	
                             {	42	-1	
                             a	0	1	
                             =	25	-1	
                             c	0	5	
                             /	32	-1	
                             d	0	6	
                             ;	37	-1	
                             }	43	-1	
                            if	12	-1	
                             (	38	-1	
                             !	28	-1	
                             a	0	1	
                             )	39	-1	
                             {	42	-1	
                             b	0	4	
                             =	25	-1	
                             a	0	1	
                             ;	37	-1	
                             }	43	-1	
                         while	14	-1	
                             (	38	-1	
                             a	0	1	
                            <=	20	-1	
                             b	0	4	
                            ||	27	-1	
                             x	0	8	
                            !=	22	-1	
                             y	0	9	
                             )	39	-1	
                             {	42	-1	
                             e	0	7	
                             =	25	-1	
                             e	0	7	
                             +	29	-1	
                           100	3	-1	
                             ;	37	-1	
                             }	43	-1	
                             a	0	1	
                             =	25	-1	
                             (	38	-1	
                             b	0	4	
                             +	29	-1	
                             c	0	5	
                             )	39	-1	
                             *	31	-1	
                             (	38	-1	
                             d	0	6	
                             +	29	-1	
                             e	0	7	
                             )	39	-1	
                             -	30	-1	
                             x	0	8	
                             +	29	-1	
                             2	3	-1	
                             ;	37	-1	
                             }	43	-1	
                             #	45	-1	


